מעודכן לתאריך 29.08.2026
עיר;רחוב;מספר בית;קוד עיר;קוד רחוב;מיקוד
אבו גוש;הוואדי;27א;472;102;9084500
אבו גוש;הוואדי;28;472;102;9084500
אבו גוש;הוואדי;39;472;102;9084500
אבו גוש;הוואדי;40;472;102;9084500
אבו גוש;הוואדי;41א;472;102;9084500
אבו גוש;הוואדי;41ד;472;102;9084500
אבו גוש;הוואדי;45;472;102;9084500
אבו גוש;הוואדי;48;472;102;9084500
אבו גוש;הוואדי;50;472;102;9084500
אבו גוש;הוואדי;52;472;102;9084500
אבו גוש;הוואדי;53;472;102;9084500
אבו גוש;הוואדי;68;472;102;9084500
אבו גוש;הוואדי;69;472;102;9084500
אבו גוש;הוואדי;77א;472;102;9084500
אבו גוש;הוואדי;85א;472;102;9084500
אבו גוש;הזיתים;4;472;106;9084500
אבו גוש;החווה;2;472;132;9084500
אבו גוש;החומה;11;472;112;9084500
אבו גוש;הלימון;12;472;116;9084500
אבו גוש;הלימון;17;472;116;9084500
אבו גוש;הלימון;2;472;116;9084500
אבו גוש;הלימון;3;472;116;9084500
אבו גוש;המאפיה הישנה;5;472;111;9084500
אבו גוש;המאפיה הישנה;6;472;111;9084500
אבו גוש;המאפיה הישנה;9;472;111;9084500
אבו גוש;המפעל;2;472;154;9084500
אבו גוש;המצפה;133;472;129;9084500
אבו גוש;המצפה;134;472;129;9084500
אבו גוש;המצפה;136;472;129;9084500
אבו גוש;המצפה;137;472;129;9084500
אבו גוש;המצפה;139;472;129;9084500
אבו גוש;המצפה;14;472;129;9084500
אבו גוש;המצפה;15;472;129;9084500
אבו גוש;המצפה;158;472;129;9084500
אבו גוש;המצפה;159;472;129;9084500
אבו גוש;המצפה;164;472;129;9084500
אבו גוש;המצפה;17;472;129;9084500
אבו גוש;המצפה;170;472;129;9084500
אבו גוש;המצפה;18;472;129;9084500
אבו גוש;המצפה;2;472;129;9084500
אבו גוש;המצפה;20;472;129;9084500
אבו גוש;המצפה;200;472;129;9084500
אבו גוש;המצפה;21;472;129;9084500
אבו גוש;המצפה;24;472;129;9084500
אבו גוש;המצפה;25;472;129;9084500
אבו גוש;המצפה;26;472;129;9084500
אבו גוש;המצפה;28;472;129;9084500
אבו גוש;המצפה;30;472;129;9084500
אבו גוש;המצפה;33;472;129;9084500
אבו גוש;המצפה;34;472;129;9084500
אבו גוש;המצפה;35;472;129;9084500
אבו גוש;המצפה;36;472;129;9084500
אבו גוש;המצפה;37;472;129;9084500
אבו גוש;המצפה;38;472;129;9084500
אבו גוש;המצפה;41;472;129;9084500
אבו גוש;המצפה;45;472;129;9084500
אבו גוש;המצפה;46;472;129;9084500
אבו גוש;המצפה;7;472;129;9084500
אבו גוש;הנענע;4;472;158;9084500
אבו גוש;הנרקיס;11;472;156;9084500
אבו גוש;הנרקיס;2;472;156;9084500
אבו גוש;העוזרד;3;472;148;9084500
אבו גוש;העוזרד;7;472;148;9084500
אבו גוש;הפרחים;16;472;157;9084500
אבו גוש;הפרחים;18;472;157;9084500
אבו גוש;הפרחים;6ג;472;157;9084500
אבו גוש;הפרחים;9;472;157;9084500
אבו גוש;הרימונים;17;472;114;9084500
אבו גוש;הרימונים;5;472;114;9084500
אבו גוש;הרימונים;7;472;114;9084500
אבו גוש;השדות;114;472;115;9084500
אבו גוש;השדות;117;472;115;9084500
אבו גוש;השדות;120;472;115;9084500
אבו גוש;השדות;122;472;115;9084500
אבו גוש;השדות;124;472;115;9084500
אבו גוש;השדות;126;472;115;9084500
אבו גוש;השדות;130;472;115;9084500
אבו גוש;השדות;131;472;115;9084500
אבו גוש;השדות;149;472;115;9084500
אבו גוש;השדות;150;472;115;9084500
אבו גוש;השדות;151;472;115;9084500
אבו גוש;השדות;152;472;115;9084500
אבו גוש;השדות;154;472;115;9084500
אבו גוש;השדות;156;472;115;9084500
אבו גוש;השדות;165;472;115;9084500
אבו גוש;השדות;166;472;115;9084500
אבו גוש;השדות;167;472;115;9084500
אבו גוש;השדות;168;472;115;9084500
אבו גוש;השדות;169;472;115;9084500
אבו גוש;השדות;20;472;115;9084500
אבו גוש;השדות;30;472;115;9084500
אבו גוש;השדות;304;472;115;9084500
אבו גוש;השזיף;4;472;146;9084500
אבו גוש;השיכון;16א;472;103;9084500
אבו גוש;השיכון;18;472;103;9084500
אבו גוש;השיכון;2;472;103;9084500
אבו גוש;השיכון;27;472;103;9084500
אבו גוש;השיכון;28;472;103;9084500
אבו גוש;השיכון;40;472;103;9084500
אבו גוש;השיכון;6;472;103;9084500
אבו גוש;השיכון;8;472;103;9084500
אבו גוש;השיכון;9;472;103;9084500
אבו גוש;התות;11;472;126;9084500
אבו גוש;התות;3;472;126;9084500
אבו גוש;התות;5;472;126;9084500
אבו גוש;התות;6;472;126;9084500
אבו גוש;התות;7;472;126;9084500
אבו גוש;התות;9;472;126;9084500
אבו גוש;התמר;20;472;104;9084500
אבו גוש;התמר;25;472;104;9084500
אבו גוש;התמר;26;472;104;9084500
אבו גוש;התמר;31;472;104;9084500
אבו גוש;התמר;33;472;104;9084500
אבו גוש;התמר;34;472;104;9084500
אבו גוש;התמר;5;472;104;9084500
אבו גוש;התמר;50;472;104;9084500
אבו גוש;התמר;52א;472;104;9084500
אבו גוש;התמר;54;472;104;9084500
אבו גוש;התמר;61א;472;104;9084500
אבו גוש;התמר;62;472;104;9084500
אבו גוש;התמר;7;472;104;9084500
אבו גוש;התמר;70;472;104;9084500
אבו גוש;התמר;72;472;104;9084500
אבו גוש;חג' מוסא;11;472;125;9084500
אבו גוש;חג' מוסא;20א;472;125;9084500
אבו גוש;חג' מוסא;9;472;125;9084500
אבו גוש;יסמין;12;472;113;9084500
אבו גוש;יסמין;14ב;472;113;9084500
אבו גוש;יסמין;14ג;472;113;9084500
אבו גוש;מחמוד רשיד;3;472;107;9084500
אבו גוש;מחמוד רשיד;6;472;107;9084500
אבו גוש;מרכז הכפר;4;472;110;9084500
אבו גוש;נטאף;1;472;122;9084500
אבו גוש;נטאף;1א;472;122;9084500
אבו גוש;נטאף;4;472;122;9084500
אבו גוש;נטאף;6;472;122;9084500
אבו גוש;עבדאל עזיז;13א;472;121;9084500
אבו גוש;עבדאל עזיז;76;472;121;9084500
אבו גוש;עבדאל עזיז מגרש 15;;472;;9084500
אבו גוש;עבדאל רחמן;11;472;131;9084500
אבו גוש;עבדאל רחמן;14;472;131;9084500
אבו גוש;עבדאל רחמן;18;472;131;9084500
אבו גוש;עבדאל רחמן;19א;472;131;9084500
אבו גוש;עבדאל רחמן;2;472;131;9084500
אבו גוש;עבדאל רחמן;34;472;131;9084500
אבו גוש;עבדאל רחמן;4;472;131;9084500
אבו גוש;עבדאל רחמן;5א;472;131;9084500
אבו גוש;ענבר;5;472;141;9084500
אבו גוש;ציפורן;3;472;143;9084500
אבו גוש;ציפורן;7;472;143;9084500
אבו גוש;שיך אסמעיל;1;472;0;9084500
אבו גוש;שיך אסמעיל;4;472;0;9084500
אבו סנאן;. 354/79R;;473;;2490500
אבו סנאן;10/79A;;473;;2490500
אבו סנאן;1001;;473;;2490500
אבו סנאן;1002;;473;;2490500
אבו סנאן;1005B;;473;;2490500
אבו סנאן;1007;;473;;2490500
אבו סנאן;1021;;473;;2490500
אבו סנאן;1022A;;473;;2490500
אבו סנאן;103;;473;;2490500
אבו סנאן;1033;;473;;2490500
אבו סנאן;1037;;473;;2490500
אבו סנאן;1040;;473;;2490500
אבו סנאן;106;;473;;2490500
אבו סנאן;1060;;473;;2490500
אבו סנאן;1061;;473;;2490500
אבו סנאן;1062;;473;;2490500
אבו סנאן;1064;;473;;2490500
אבו סנאן;1069;;473;;2490500
אבו סנאן;107;;473;;2490500
אבו סנאן;1080;;473;;2490500
אבו סנאן;1081;;473;;2490500
אבו סנאן;1082;;473;;2490500
אבו סנאן;110A/79XR;;473;;2490500
אבו סנאן;1120;;473;;2490500
אבו סנאן;1129;;473;;2490500
אבו סנאן;113;;473;;2490500
אבו סנאן;119;;473;;2490500
אבו סנאן;11A/79XR;;473;;2490500
אבו סנאן;12/79XR;;473;;2490500
אבו סנאן;120;;473;;2490500
אבו סנאן;1200;;473;;2490500
אבו סנאן;120B;;473;;2490500
אבו סנאן;120C;;473;;2490500
אבו סנאן;121B;;473;;2490500
אבו סנאן;122;;473;;2490500
אבו סנאן;123;;473;;2490500
אבו סנאן;123A;;473;;2490500
אבו סנאן;124;;473;;2490500
אבו סנאן;125;;473;;2490500
אבו סנאן;1250;;473;;2490500
אבו סנאן;1254;;473;;2490500
אבו סנאן;1255;;473;;2490500
אבו סנאן;127;;473;;2490500
אבו סנאן;13/85XR;;473;;2490500
אבו סנאן;130;;473;;2490500
אבו סנאן;130A;;473;;2490500
אבו סנאן;132A;;473;;2490500
אבו סנאן;133;;473;;2490500
אבו סנאן;133R/79;;473;;2490500
אבו סנאן;139;;473;;2490500
אבו סנאן;14/85XR;;473;;2490500
אבו סנאן;142;;473;;2490500
אבו סנאן;144;;473;;2490500
אבו סנאן;145;;473;;2490500
אבו סנאן;149;;473;;2490500
אבו סנאן;156;;473;;2490500
אבו סנאן;157;;473;;2490500
אבו סנאן;157A;;473;;2490500
אבו סנאן;159;;473;;2490500
אבו סנאן;163;;473;;2490500
אבו סנאן;170;;473;;2490500
אבו סנאן;171;;473;;2490500
אבו סנאן;174;;473;;2490500
אבו סנאן;18/79XR;;473;;2490500
אבו סנאן;192;;473;;2490500
אבו סנאן;1פ-RX97/004;;473;;2490500
אבו סנאן;1פ-RX97/115;;473;;2490500
אבו סנאן;1פ-RX97/127;;473;;2490500
אבו סנאן;1פ-RX97/623;;473;;2490500
אבו סנאן;1פ-RX97/653;;473;;2490500
אבו סנאן;1פ-RX97/823;;473;;2490500
אבו סנאן;2/85XR;;473;;2490500
אבו סנאן;202;;473;;2490500
אבו סנאן;205;;473;;2490500
אבו סנאן;208;;473;;2490500
אבו סנאן;212A;;473;;2490500
אבו סנאן;215C;;473;;2490500
אבו סנאן;216;;473;;2490500
אבו סנאן;219;;473;;2490500
אבו סנאן;220A;;473;;2490500
אבו סנאן;222/79R;;473;;2490500
אבו סנאן;223;;473;;2490500
אבו סנאן;224;;473;;2490500
אבו סנאן;226;;473;;2490500
אבו סנאן;229;;473;;2490500
אבו סנאן;236A;;473;;2490500
אבו סנאן;239;;473;;2490500
אבו סנאן;24/79R;;473;;2490500
אבו סנאן;241;;473;;2490500
אבו סנאן;243;;473;;2490500
אבו סנאן;260;;473;;2490500
אבו סנאן;260B;;473;;2490500
אבו סנאן;261;;473;;2490500
אבו סנאן;268;;473;;2490500
אבו סנאן;274;;473;;2490500
אבו סנאן;280;;473;;2490500
אבו סנאן;281;;473;;2490500
אבו סנאן;284;;473;;2490500
אבו סנאן;290;;473;;2490500
אבו סנאן;291;;473;;2490500
אבו סנאן;292;;473;;2490500
אבו סנאן;293A/79XR;;473;;2490500
אבו סנאן;294/79XR;;473;;2490500
אבו סנאן;295/79XR;;473;;2490500
אבו סנאן;297;;473;;2490500
אבו סנאן;306;;473;;2490500
אבו סנאן;312;;473;;2490500
אבו סנאן;313;;473;;2490500
אבו סנאן;320/79R;;473;;2490500
אבו סנאן;321/79XR;;473;;2490500
אבו סנאן;323;;473;;2490500
אבו סנאן;324;;473;;2490500
אבו סנאן;324/79XR;;473;;2490500
אבו סנאן;327;;473;;2490500
אבו סנאן;328/79R;;473;;2490500
אבו סנאן;331;;473;;2490500
אבו סנאן;332;;473;;2490500
אבו סנאן;335;;473;;2490500
אבו סנאן;335A;;473;;2490500
אבו סנאן;338;;473;;2490500
אבו סנאן;339;;473;;2490500
אבו סנאן;342;;473;;2490500
אבו סנאן;346;;473;;2490500
אבו סנאן;350/79XR;;473;;2490500
אבו סנאן;354/79R;;473;;2490500
אבו סנאן;364;;473;;2490500
אבו סנאן;365;;473;;2490500
אבו סנאן;366;;473;;2490500
אבו סנאן;367;;473;;2490500
אבו סנאן;369;;473;;2490500
אבו סנאן;370;;473;;2490500
אבו סנאן;371;;473;;2490500
אבו סנאן;373;;473;;2490500
אבו סנאן;374;;473;;2490500
אבו סנאן;376;;473;;2490500
אבו סנאן;377;;473;;2490500
אבו סנאן;380;;473;;2490500
אבו סנאן;381;;473;;2490500
אבו סנאן;381/79R;;473;;2490500
אבו סנאן;382;;473;;2490500
אבו סנאן;382/79R;1;473;;2490500
אבו סנאן;382/79XR;;473;;2490500
אבו סנאן;384;;473;;2490500
אבו סנאן;384/79XR;;473;;2490500
אבו סנאן;385;;473;;2490500
אבו סנאן;386;;473;;2490500
אבו סנאן;387;;473;;2490500
אבו סנאן;387/79XR;;473;;2490500
אבו סנאן;389;;473;;2490500
אבו סנאן;389/79XR;;473;;2490500
אבו סנאן;391;;473;;2490500
אבו סנאן;392;;473;;2490500
אבו סנאן;395;;473;;2490500
אבו סנאן;397;;473;;2490500
אבו סנאן;401;;473;;2490500
אבו סנאן;403;;473;;2490500
אבו סנאן;404;;473;;2490500
אבו סנאן;405;;473;;2490500
אבו סנאן;416;;473;;2490500
אבו סנאן;418;;473;;2490500
אבו סנאן;425;;473;;2490500
אבו סנאן;435;;473;;2490500
אבו סנאן;437;;473;;2490500
אבו סנאן;437;;473;;2490800
אבו סנאן;437D;;473;;2490500
אבו סנאן;438;;473;;2490500
אבו סנאן;440;;473;;2490500
אבו סנאן;446;;473;;2490500
אבו סנאן;448;;473;;2490500
אבו סנאן;452;;473;;2490500
אבו סנאן;460;;473;;2490500
אבו סנאן;461A;;473;;2490500
אבו סנאן;463A;;473;;2490500
אבו סנאן;463B;;473;;2490500
אבו סנאן;463E;;473;;2490500
אבו סנאן;468;;473;;2490500
אבו סנאן;471;;473;;2490500
אבו סנאן;472;;473;;2490500
אבו סנאן;473;;473;;2490500
אבו סנאן;474;;473;;2490500
אבו סנאן;480A;;473;;2490500
אבו סנאן;495A;;473;;2490500
אבו סנאן;495B;;473;;2490500
אבו סנאן;502;;473;;2490500
אבו סנאן;503;;473;;2490500
אבו סנאן;504;;473;;2490500
אבו סנאן;506;;473;;2490500
אבו סנאן;507;;473;;2490500
אבו סנאן;508;;473;;2490500
אבו סנאן;509;;473;;2490500
אבו סנאן;510;;473;;2490500
אבו סנאן;511;;473;;2490500
אבו סנאן;513;;473;;2490500
אבו סנאן;517;;473;;2490500
אבו סנאן;521;;473;;2490500
אבו סנאן;522;;473;;2490500
אבו סנאן;525;;473;;2490500
אבו סנאן;529;;473;;2490500
אבו סנאן;530;;473;;2490500
אבו סנאן;531;;473;;2490500
אבו סנאן;534;;473;;2490500
אבו סנאן;535;;473;;2490500
אבו סנאן;539;;473;;2490500
אבו סנאן;547;;473;;2490500
אבו סנאן;548;;473;;2490500
אבו סנאן;550T;;473;;2490500
אבו סנאן;551;;473;;2490500
אבו סנאן;553;;473;;2490500
אבו סנאן;554;;473;;2490500
אבו סנאן;558;;473;;2490500
אבו סנאן;558A;;473;;2490500
אבו סנאן;559A;;473;;2490500
אבו סנאן;561;;473;;2490500
אבו סנאן;569B;;473;;2490500
אבו סנאן;570;;473;;2490500
אבו סנאן;574;;473;;2490500
אבו סנאן;574C;;473;;2490500
אבו סנאן;577A;;473;;2490500
אבו סנאן;583;;473;;2490500
אבו סנאן;585;;473;;2490500
אבו סנאן;587A;;473;;2490500
אבו סנאן;591A;;473;;2490500
אבו סנאן;593;;473;;2490500
אבו סנאן;593A;;473;;2490500
אבו סנאן;593C;;473;;2490500
אבו סנאן;593D;;473;;2490500
אבו סנאן;594;;473;;2490500
אבו סנאן;596B;;473;;2490500
אבו סנאן;60/106R;;473;;2490500
אבו סנאן;61/90R;;473;;2490500
אבו סנאן;610A;;473;;2490500
אבו סנאן;611;;473;;2490500
אבו סנאן;612;;473;;2490500
אבו סנאן;619;;473;;2490500
אבו סנאן;619A;;473;;2490500
אבו סנאן;619B;;473;;2490500
אבו סנאן;621;;473;;2490500
אבו סנאן;622;;473;;2490500
אבו סנאן;623;;473;;2490500
אבו סנאן;635;;473;;2490500
אבו סנאן;642B;;473;;2490500
אבו סנאן;650;;473;;2490500
אבו סנאן;651;;473;;2490500
אבו סנאן;652;;473;;2490500
אבו סנאן;653;;473;;2490500
אבו סנאן;664;;473;;2490500
אבו סנאן;670;;473;;2490500
אבו סנאן;671;;473;;2490500
אבו סנאן;685;;473;;2490500
אבו סנאן;691;;473;;2490500
אבו סנאן;693;;473;;2490500
אבו סנאן;696;;473;;2490500
אבו סנאן;697;;473;;2490500
אבו סנאן;7/79XR;;473;;2490500
אבו סנאן;70/400R;;473;;2490500
אבו סנאן;70/90XR;;473;;2490500
אבו סנאן;702;;473;;2490500
אבו סנאן;703;;473;;2490500
אבו סנאן;704;;473;;2490500
אבו סנאן;71/79R;;473;;2490500
אבו סנאן;710;;473;;2490500
אבו סנאן;711A;;473;;2490500
אבו סנאן;717/79R;;473;;2490500
אבו סנאן;72/79XR;;473;;2490500
אבו סנאן;721;;473;;2490500
אבו סנאן;7211;;473;;2490500
אבו סנאן;723;;473;;2490500
אבו סנאן;726;;473;;2490500
אבו סנאן;727;;473;;2490500
אבו סנאן;73/79XR;;473;;2490500
אבו סנאן;733;;473;;2490500
אבו סנאן;734;;473;;2490500
אבו סנאן;737;;473;;2490500
אבו סנאן;751;;473;;2490500
אבו סנאן;771;;473;;2490500
אבו סנאן;774;;473;;2490500
אבו סנאן;780;;473;;2490500
אבו סנאן;784;;473;;2490500
אבו סנאן;79/110R;;473;;2490500
אבו סנאן;792;;473;;2490500
אבו סנאן;799;;473;;2490500
אבו סנאן;800;;473;;2490500
אבו סנאן;812;;473;;2490500
אבו סנאן;813;;473;;2490500
אבו סנאן;814;;473;;2490500
אבו סנאן;820;;473;;2490500
אבו סנאן;821;;473;;2490500
אבו סנאן;823;;473;;2490500
אבו סנאן;833;;473;;2490500
אבו סנאן;834;;473;;2490500
אבו סנאן;841;;473;;2490500
אבו סנאן;846A;;473;;2490500
אבו סנאן;846B;;473;;2490500
אבו סנאן;846C;;473;;2490500
אבו סנאן;853;;473;;2490500
אבו סנאן;872;;473;;2490500
אבו סנאן;873;;473;;2490500
אבו סנאן;884;;473;;2490500
אבו סנאן;889;;473;;2490500
אבו סנאן;88AB/R;;473;;2490500
אבו סנאן;893;;473;;2490500
אבו סנאן;894;;473;;2490500
אבו סנאן;9/79R;;473;;2490500
אבו סנאן;912;;473;;2490500
אבו סנאן;931;;473;;2490500
אבו סנאן;933;;473;;2490500
אבו סנאן;934;;473;;2490500
אבו סנאן;A.H4508;;473;;2490500
אבו סנאן;AH10;;473;;2490500
אבו סנאן;AH1001;;473;;2490500
אבו סנאן;AH121;;473;;2490500
אבו סנאן;AH300;;473;;2490500
אבו סנאן;AH313;;473;;2490500
אבו סנאן;AH331;;473;;2490500
אבו סנאן;AH4449;;473;;2490500
אבו סנאן;AH4500;;473;;2490500
אבו סנאן;AH4501;;473;;2490500
אבו סנאן;AH4504;1;473;;2490500
אבו סנאן;AH4505;;473;;2490500
אבו סנאן;AH4506;;473;;2490500
אבו סנאן;AH4515;;473;;2490500
אבו סנאן;AH4520;;473;;2490500
אבו סנאן;AH4521;;473;;2490500
אבו סנאן;AH4522;;473;;2490500
אבו סנאן;AH4523;;473;;2490500
אבו סנאן;AH4524;;473;;2490500
אבו סנאן;AH4525;;473;;2490500
אבו סנאן;AH4525B;;473;;2490500
אבו סנאן;AH4530;;473;;2490500
אבו סנאן;AH4531;;473;;2490500
אבו סנאן;AH4536;;473;;2490500
אבו סנאן;AH4545;;473;;2490500
אבו סנאן;AH4546;;473;;2490500
אבו סנאן;AH4548;;473;;2490500
אבו סנאן;AH4555;;473;;2490500
אבו סנאן;AH4560;;473;;2490500
אבו סנאן;AH4561;;473;;2490500
אבו סנאן;AH457;;473;;2490500
אבו סנאן;AH4570;;473;;2490500
אבו סנאן;AH4576;;473;;2490500
אבו סנאן;AH4590;;473;;2490500
אבו סנאן;AH4591;;473;;2490500
אבו סנאן;AH4600;;473;;2490500
אבו סנאן;AH4610;;473;;2490500
אבו סנאן;AH4700;;473;;2490500
אבו סנאן;AH4701;;473;;2490500
אבו סנאן;AH4800;;473;;2490500
אבו סנאן;AH4801;;473;;2490500
אבו סנאן;AH4802;;473;;2490500
אבו סנאן;AH4803;;473;;2490500
אבו סנאן;AH4804;;473;;2490500
אבו סנאן;AH4805;;473;;2490500
אבו סנאן;AH4810;;473;;2490500
אבו סנאן;AH4812;;473;;2490500
אבו סנאן;AH4812 מגורים;;473;;2490500
אבו סנאן;AH4820;;473;;2490500
אבו סנאן;AH4821;;473;;2490500
אבו סנאן;AH4823;;473;;2490500
אבו סנאן;AH4824;;473;;2490500
אבו סנאן;AH4828;;473;;2490500
אבו סנאן;AH50;;473;;2490500
אבו סנאן;AH574;;473;;2490500
אבו סנאן;AH60;;473;;2490500
אבו סנאן;AH65;;473;;2490500
אבו סנאן;AH703;;473;;2490500
אבו סנאן;AH9;;473;;2490500
אבו סנאן;AH997;;473;;2490500
אבו סנאן;HA4505;;473;;2490500
אבו סנאן;R58/1 הזנה ישירה;;473;;2490500
אבו סנאן;R97/32 מאור;;473;;2490500
אבו סנאן;R97/553 הזנה ישירה;;473;;2490500
אבו סנאן;א.ח 368;;473;;2490500
אבו סנאן;א.ח 4548;;473;;2490500
אבו סנאן;אבו סנאן;11;473;9000;2490500
אבו סנאן;אבו סנאן;2;473;9000;2490500
אבו סנאן;אבו סנאן 503;;473;;2490500
אבו סנאן;טרנס R-97-8;;473;;2490500
אבו סנאן;מוצע R97/792;;473;;2490500
אבו סנאן;עמ' 12/85R;;473;;2490500
אבו סנאן;עמוד 1255;;473;;2490500
אבו סנאן;עמוד 271;;473;;2490500
אבו סנאן;עמוד 328;100/1;473;;2490500
אבו סנאן;עמוד 338;;473;;2490500
אבו סנאן;עמוד 374;;473;;2490500
אבו סנאן;עמוד 405;;473;;2490500
אבו סנאן;עמוד 469;;473;;2490500
אבו סנאן;עמוד 751;;473;;2490500
אבו סנאן;עמוד 846A;;473;;2490500
אבו סנאן;עמוד A1006;;473;;2490500
אבו סנאן;עמוד AH1006;;473;;2490500
אבו סנאן;עמוד AH4802;;473;;2490500
אבו סנאן;עמוד B335;;473;;2490500
אבו סנאן;עמוד R57/99;;473;;2490500
אבו סנאן;עמוד367;;473;;2490500
אבו סנאן;ר/58/3;;473;;2490500
אבו קרינאת;34/147 ST;;1342;;8491700
אבו קרינאת;57/147ST/p2;;1342;;
אבו קרינאת;70/147 ST;;1342;;8491700
אבו קרינאת;72/142ST;;1342;;
אבו קרינאת;אזור התעשיה 7/147 ST;;1342;;8491700
אבו קרינאת;אל ע'נאמי;12ב;1342;0;
אבו קרינאת;אל ע'נאמי;14א;1342;0;
אבו קרינאת;אל ע'נאמי;68א;1342;0;
אבו קרינאת;אל ע'נאמי;69ב;1342;0;
אבו קרינאת;אל ע'נאמי;75א;1342;0;
אבו קרינאת;אל ע'נאמי;86ב;1342;0;
אבו קרינאת;מרכז השרותים;104;1342;0;
אבו קרינאת;מרכז השרותים;203;1342;0;8491700
אבו קרינאת;מרכז השרותים;300;1342;0;8491701
אבו קרינאת;מרכז השרותים;35;1342;0;
אבו קרינאת;מרכז השרותים;900;1342;0;8491701
אבו קרינאת;מרכז השרותים;901;1342;0;8491701
אבו קרינאת;מרכז השרותים;902;1342;0;8491700
אבו קרינאת;מרכז השרותים;903;1342;0;8491701
אבו קרינאת;מרכז השרותים;904;1342;0;8491701
אבו קרינאת;עמוד 57/147ST;;1342;;
